Name,Time,Human_Activity,Luminosity,Terrain,Presence_of_building,Mechanical_Activity,Nearby_vegetation,Safety
20251015_143014,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143015,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143017,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143018,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143019,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143024,Afternoon,1,Daylight,Road,0,0,Medium,High
20251015_143026,Afternoon,0,Daylight,Road,0,1,Medium,High
20251015_143042,Afternoon,0,Daylight,Road,1,1,Medium,High
20251015_143048,Afternoon,0,Daylight,Road,0,1,Medium,High
20251015_143054,Afternoon,1,Daylight,Road,1,1,Medium,High
20251015_143100,Afternoon,1,Daylight,Road,0,0,Medium,High
20251015_143109,Afternoon,0,Daylight,Road,0,0,High,High
20251015_143127,Afternoon,0,Daylight,Road,0,0,Low,High
20251015_143203,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_143212,Afternoon,0,Daylight,Road,0,1,Medium,High
20251015_143234,Afternoon,0,Daylight,Road,1,1,Medium,High
20251015_143236,Afternoon,0,Daylight,Road,1,0,Low,High
20251015_181123,Night,0,Mildly_Lit,Road,1,1,Low,Medium
20251015_181136,Night,0,Mildly_Lit,Road,0,1,Low,Medium
20251015_181143,Night,0,Well_Lit,Road,0,1,Low,Medium
20251015_181218,Night,1,Well_Lit,Road,1,0,Low,Medium
20251015_181249,Night,1,Well_Lit,Road,0,0,Low,Medium
20251015_181252,Night,0,Well_Lit,Road,0,1,Low,Medium
20251015_181307,Night,0,Well_Lit,Road,0,1,Low,Medium
20251015_181323,Night,0,Well_Lit,Rough,0,0,High,Low
20251015_181355,Night,0,Well_Lit,Rough,0,0,High,Low
20251015_181406,Night,0,Well_Lit,Rough,0,0,High,Low
20251015_181413,Night,1,Well_Lit,Rough,0,1,Medium,Medium
20251015_181420,Night,1,Well_Lit,Rough,0,0,Low,Medium
20251015_181530,Night,1,Mildly_Lit,Muddy,1,0,High,Medium
20251015_181534,Night,0,Mildly_Lit,Rough,0,0,High,Low
20251015_181541,Night,0,Mildly_Lit,Road,0,0,High,Low
20251015_181546,Night,0,Mildly_Lit,Road,0,1,High,Low
20251015_181616,Night,0,Mildly_Lit,Road,0,0,High,Low
20251015_181635,Night,0,Dark,Road,0,0,High,Low
20251015_181653,Night,1,Mildly_Lit,Rough,0,0,High,Low
20251015_181701,Night,0,Dark,Muddy,0,0,High,Low
20251015_181706,Night,0,Dark,Road,0,0,Medium,Low
20251015_181715,Night,0,Dark,Muddy,1,0,Medium,Low
20251015_181733,Night,0,Dark,Muddy,1,0,Low,Medium
20251015_181736,Night,0,Mildly_Lit,Muddy,1,0,Low,Medium
20251015_181759,Night,0,Mildly_Lit,Muddy,1,0,Low,Medium
20251015_181802,Night,1,Mildly_Lit,Road,1,0,Low,Medium
20251015_181853,Night,1,Well_Lit,Road,1,0,Low,Medium
20251015_214251,Night,0,Well_Lit,Road,1,1,Low,Medium
20251015_214306,Night,0,Dark,Muddy,1,0,Low,Low
20251021_142306,Afternoon,0,Daylight,Road,1,0,Low,Medium
20251021_142309,Afternoon,0,Daylight,Road,1,0,Low,Medium
20251021_142332,Afternoon,0,Daylight,Road,1,1,Low,Medium
20251021_142409,Afternoon,0,Daylight,Road,1,0,Low,Medium
20251021_142459,Afternoon,1,Daylight,Road,1,0,Low,Medium
20251025_230229,Night,0,Dark,Muddy,1,0,High,Low
20251025_230240,Night,0,Dark,Muddy,1,0,High,Low
20251025_230533,Night,0,Well_Lit,Road,1,0,Low,Medium
20251025_230608,Night,1,Well_Lit,Road,0,0,Medium,Medium
20251025_230627,Night,1,Well_Lit,Road,0,0,Medium,Medium
20251025_230652,Night,1,Well_Lit,Rough,0,0,Medium,Medium
20251025_230713,Night,1,Well_Lit,Rough,1,0,Medium,Medium
20251025_230719,Night,0,Well_Lit,Rough,1,0,Medium,Medium
20251025_230800,Night,0,Dark,Road,1,0,Low,Low
20251025_230801,Night,0,Well_Lit,Road,1,0,Medium,Medium
20251025_230855,Night,0,Mildly_Lit,Rough,1,0,High,Low
20251025_230857,Night,0,Mildly_Lit,Rough,1,0,High,Low
20251025_230912,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_230928,Night,1,Mildly_Lit,Rough,1,0,Medium,Medium
20251025_230933,Night,1,Mildly_Lit,Road,1,0,Medium,Medium
20251025_232010,Night,1,Mildly_Lit,Road,0,0,Low,Medium
20251025_232014,Night,0,Mildly_Lit,Road,0,0,Medium,Low
20251025_232018,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_232022,Night,0,Dark,Road,0,0,Medium,Low
20251025_232050,Night,1,Dark,Road,0,0,Medium,Low
20251025_232156,Night,0,Dark,Road,0,0,High,Low
20251025_232159,Night,0,Dark,Road,0,0,Medium,Low
20251025_232213,Night,0,Dark,Road,0,0,Medium,Low
20251025_232231,Night,0,Dark,Rough,0,0,Medium,Low
20251025_232253,Night,0,Dark,Rough,0,0,High,Low
20251025_232259,Night,0,Dark,Rough,0,0,High,Low
20251025_232306,Night,0,Dark,Rough,0,0,Medium,Low
20251025_232318,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_232337,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_232340,Night,0,Dark,Muddy,0,0,High,Low
20251025_232348,Night,1,Dark,Muddy,0,0,High,Low
20251025_232349,Night,1,Mildly_Lit,Muddy,0,0,Medium,Medium
20251025_232412,Night,1,Mildly_Lit,Muddy,0,1,Medium,Medium
20251025_232416,Night,1,Mildly_Lit,Muddy,0,1,Medium,Medium
20251025_232420,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_232424,Night,0,Dark,Muddy,0,0,High,Low
20251025_232425,Night,0,Mildly_Lit,Muddy,1,0,High,Medium
20251025_232439,Night,0,Well_Lit,Muddy,0,0,High,Low
20251025_232440,Night,0,Well_Lit,Muddy,0,1,Medium,Low
20251025_232447,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_232510,Night,0,Mildly_Lit,Rough,1,0,Low,Medium
20251025_232513,Night,0,Well_Lit,Road,1,0,Low,Medium
20251025_232515,Night,0,Well_Lit,Muddy,1,0,High,Low
20251025_232624,Night,0,Dark,Muddy,1,0,High,Low
20251025_232630,Night,0,Dark,Muddy,0,0,High,Low
20251025_232640,Night,0,Dark,Muddy,0,0,High,Low
20251025_232645,Night,0,Dark,Muddy,1,0,High,Low
20251025_232649,Night,0,Mildly_Lit,Rough,1,0,High,Medium
20251025_232727,Night,0,Mildly_Lit,Road,1,0,Medium,Medium
20251025_232753,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_232808,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_232809,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_232820,Night,0,Mildly_Lit,Rough,0,0,Medium,Low
20251025_232831,Night,0,Dark,Muddy,1,0,High,Low
20251025_232839,Night,0,Dark,Muddy,1,0,High,Low
20251025_232857,Night,0,Mildly_Lit,Rough,1,0,High,Low
20251025_232916,Night,0,Mildly_Lit,Muddy,1,0,High,Low
20251025_232925,Night,0,Dark,Muddy,1,0,High,Low
20251025_232933,Night,0,Dark,Muddy,1,0,High,Low
20251025_232942,Night,0,Dark,Muddy,1,0,High,Low
20251025_233034,Night,0,Well_Lit,Rough,1,0,Medium,Medium
20251025_233041,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_233047,Night,0,Well_Lit,Road,1,0,Medium,Medium
20251025_233408,Night,0,Dark,Rough,0,0,High,Low
20251025_233410,Night,0,Dark,Rough,0,0,High,Low
20251025_233444,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_233454,Night,0,Mildly_Lit,Rough,0,0,High,Low
20251025_233500,Night,1,Mildly_Lit,Muddy,1,0,Medium,Medium
20251025_233511,Night,1,Mildly_Lit,Muddy,1,0,High,Low
20251025_233844,Night,0,Mildly_Lit,Muddy,1,0,High,Medium
20251025_233859,Night,0,Dark,Muddy,0,0,High,Low
20251025_233906,Night,0,Dark,Muddy,0,0,High,Low
20251025_233909,Night,0,Dark,Muddy,0,0,High,Low
20251025_233938,Night,0,Dark,Rough,0,0,Medium,Low
20251025_233941,Night,0,Dark,Rough,0,0,Medium,Low
20251025_233957,Night,0,Dark,Rough,0,0,Medium,Low
20251025_234002,Night,0,Dark,Rough,0,0,Medium,Low
20251025_234009,Night,0,Dark,Rough,0,0,High,Low
20251025_234020,Night,0,Dark,Rough,0,0,High,Low
20251025_234104,Night,0,Dark,Road,0,0,High,Low
20251025_234125,Night,1,Dark,Road,0,0,Medium,Medium
20251025_234126,Night,0,Dark,Road,0,0,Medium,Low
20251025_234142,Night,0,Dark,Road,0,0,Medium,Low
20251025_234303,Night,0,Dark,Road,0,0,Medium,Low
20251025_234310,Night,0,Dark,Road,0,0,Low,Low
20251025_234319,Night,0,Dark,Road,0,0,Medium,Low
20251025_234326,Night,0,Dark,Road,0,0,Medium,Low
20251025_234456,Night,0,Well_Lit,Rough,1,0,Medium,High
20251025_234458,Night,0,Well_Lit,Rough,1,0,Medium,High
20251025_234506,Night,0,Well_Lit,Rough,1,0,Low,High
20251025_234509,Night,0,Well_Lit,Rough,0,0,Medium,Medium
20251025_234534,Night,0,Mildly_Lit,Rough,1,0,Medium,Medium
20251025_234544,Night,0,Dark,Rough,1,0,Low,Medium
20251025_234548,Night,0,Mildly_Lit,Rough,1,0,High,Medium
20251025_234553,Night,0,Mildly_Lit,Rough,0,0,Low,Medium
20251025_234554,Night,0,Mildly_Lit,Rough,0,0,Low,Medium
20251025_234621,Night,0,Mildly_Lit,Road,1,0,Low,High
20251025_234658,Night,0,Well_Lit,Road,1,1,Low,High
20251025_234702,Night,0,Well_Lit,Road,1,0,Low,High
20251025_234706,Night,0,Well_Lit,Road,1,0,Low,High
20251025_234746,Night,0,Dark,Road,0,0,Medium,Low
20251025_234753,Night,0,Dark,Road,0,0,Medium,Low
20251025_234754,Night,0,Dark,Rough,1,0,Medium,Medium
20251025_234806,Night,0,Dark,Rough,0,0,High,Low
20251025_234809,Night,0,Dark,Rough,0,0,High,Low
20251025_234836,Night,0,Dark,Muddy,0,0,High,Low
20251025_234847,Night,0,Dark,Road,0,0,High,Low
20251025_234900,Night,0,Dark,Road,1,0,High,Low
20251025_234908,Night,0,Dark,Road,1,0,High,Low
20251025_234941,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_234948,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_235028,Night,0,Mildly_Lit,Muddy,0,0,Medium,Low
20251025_235032,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_235040,Night,0,Dark,Muddy,0,0,High,Low
20251025_235050,Night,0,Dark,Rough,0,0,High,Low
20251025_235051,Night,0,Dark,Rough,0,0,High,Low
20251025_235104,Night,0,Dark,Rough,0,0,High,Low
20251025_235115,Night,0,Dark,Rough,0,0,High,Low
20251025_235122,Night,0,Dark,Rough,0,0,High,Low
20251025_235131,Night,0,Dark,Rough,0,0,High,Low
20251025_235207,Night,0,Mildly_Lit,Rough,0,0,Medium,Medium
20251025_235210,Night,0,Mildly_Lit,Rough,0,0,Medium,Medium
20251025_235215,Night,0,Mildly_Lit,Rough,0,0,Low,Medium
20251025_235217,Night,0,Mildly_Lit,Road,0,0,Low,High
20251025_235219,Night,0,Mildly_Lit,Rough,0,0,High,Low
20251025_235224,Night,0,Well_Lit,Road,0,0,Medium,High
20251025_235306,Night,0,Mildly_Lit,Road,1,0,Low,High
20251025_235321,Night,0,Well_Lit,Road,1,0,Low,High
20251025_235334,Night,0,Well_Lit,Road,1,0,Low,High
20251025_235340,Night,0,Well_Lit,Road,1,1,Medium,High
20251025_235347,Night,0,Well_Lit,Road,1,0,Medium,High
20251025_235401,Night,0,Well_Lit,Road,1,0,Medium,High
20251025_235446,Night,0,Mildly_Lit,Muddy,1,0,Medium,Medium
20251025_235526,Night,1,Mildly_Lit,Rough,0,0,Medium,Medium
20251025_235533,Night,0,Mildly_Lit,Rough,1,0,Medium,Medium
20251025_235543,Night,0,Mildly_Lit,Rough,0,0,High,Low
20251025_235606,Night,0,Well_Lit,Rough,0,0,Medium,Medium
20251025_235616,Night,0,Mildly_Lit,Rough,1,0,Medium,Medium
20251025_235620,Night,0,Mildly_Lit,Rough,0,0,Medium,Medium
20251025_235652,Night,0,Well_Lit,Road,1,0,Medium,High
20251025_235700,Night,0,Well_Lit,Road,1,0,Medium,High
20251025_235719,Night,0,Mildly_Lit,Road,0,0,Medium,Medium
20251025_235744,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_235748,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_235752,Night,0,Mildly_Lit,Muddy,1,0,High,Low
20251025_235803,Night,0,Mildly_Lit,Muddy,1,0,High,Low
20251025_235807,Night,0,Mildly_Lit,Muddy,1,0,High,Low
20251025_235822,Night,0,Mildly_Lit,Muddy,1,0,Medium,Medium
20251025_235825,Night,0,Mildly_Lit,Muddy,1,0,Medium,Medium
20251025_235830,Night,0,Mildly_Lit,Muddy,1,0,Medium,Medium
20251025_235838,Night,1,Mildly_Lit,Muddy,1,0,Medium,High
20251025_235841,Night,0,Mildly_Lit,Muddy,1,0,High,Medium
20251025_235900,Night,0,Dark,Muddy,0,0,High,Low
20251025_235903,Night,0,Mildly_Lit,Muddy,0,0,High,Low
20251025_235908,Night,0,Dark,Muddy,1,0,High,Low
20251025_235917,Night,0,Dark,Muddy,0,0,High,Low
20251025_235920,Night,0,Dark,Muddy,0,0,High,Low
20251025_235945,Night,1,Dark,Muddy,1,0,High,Low
20251025_235947,Night,1,Dark,Muddy,1,0,High,Low
